Timestamp, [โกวเล็ก], [อาหารอีสาน], [McDonald], [Pizza], [Music Squad],ยืนยันการลงคะแนน,ท่านได้ตรวจสอบแล้วว่าได้ทำการลงคะแนนเสียงเป็นที่เรียบร้อย และยืนยันว่าจะส่งใบลงคะแนน ( หากใช่ให้พิมพ์ “Confirm” )
2/3/2024 4:20:59,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 4,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 5,ยืนยัน,Confirm
2/3/2024 12:22:03,ให้เป็นอันดับที่ 4,ให้เป็นอันดับที่ 5,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 3,ยืนยัน,Confirm
2/3/2024 12:27:13,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 5,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 4,ยืนยัน,Confirm 
2/3/2024 12:29:02,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 5,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 4,ยืนยัน,Confirm 
2/3/2024 12:34:25,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 4,ให้เป็นอันดับที่ 5,ยืนยัน,Confirmed
2/3/2024 12:38:24,,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 4,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 2,ยืนยัน,Confirm
2/3/2024 12:39:44,ให้เป็นอันดับที่ 5,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 4,ยืนยัน,Confirm
2/3/2024 12:50:35,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 5,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 4,ยืนยัน,Confirm
2/3/2024 13:10:32,ให้เป็นอันดับที่ 5,ให้เป็นอันดับที่ 4,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 1,ยืนยัน,Confirm
2/3/2024 13:14:14,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 4,,ยืนยัน,Confirm
2/3/2024 13:23:02,ให้เป็นอันดับที่ 4,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 5,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 2,ยืนยัน,Confirm 
2/3/2024 13:36:24,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 4,ให้เป็นอันดับที่ 5,ยืนยัน,Confirm
2/3/2024 14:21:39,ให้เป็นอันดับที่ 5,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 4,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 3,ยืนยัน,“Confirm”
2/3/2024 14:33:47,ให้เป็นอันดับที่ 4,ให้เป็นอันดับที่ 2,ให้เป็นอันดับที่ 3,ให้เป็นอันดับที่ 1,ให้เป็นอันดับที่ 5,ยืนยัน,Confirm